BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
AC:85:3D:EF:52:D0, 2023-01-29 01:18:50, 2023-01-29 01:27:09,11,130, WPA2, CCMP, PSK,-67,27,9,   0.  0.  0.  0,9, Big Mouth, 
C0:C9:E3:D7:D6:6B, 2023-01-29 01:19:42, 2023-01-29 01:27:08,4,270, OPN, ,   ,-82,17,0,   0.  0.  0.  0,11, Maprang_FL4, 
CC:64:A6:7D:49:24, 2023-01-29 01:19:42, 2023-01-29 01:26:59,11,130, WPA2 WPA, CCMP, PSK,-80,8,0,   0.  0.  0.  0,4, A600, 
48:F8:DB:20:BA:C4, 2023-01-29 01:21:16, 2023-01-29 01:26:33,6,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
3C:6A:A7:DC:71:2F, 2023-01-29 01:19:24, 2023-01-29 01:24:42,6,-1, OPN, ,   ,-1,0,22,   0.  0.  0.  0,0, , 
7A:8B:2A:A9:A1:55, 2023-01-29 01:21:07, 2023-01-29 01:21:07,4,65, WPA2, CCMP TKIP, PSK,-78,0,0,   0.  0.  0.  0,17, chuangmi-hub-A155, 
FA:8F:CA:94:5C:58, 2023-01-29 01:19:42, 2023-01-29 01:22:50,4,65, OPN, ,   ,-82,3,0,   0.  0.  0.  0,25, Family Room speaker.n115,
26:56:C8:D1:A0:75, 2023-01-29 01:20:42, 2023-01-29 01:26:17,6,65, WPA2, CCMP, PSK,-80,3,0,   0.  0.  0.  0,14, Galaxy A30DBE7, 
E0:CC:7A:99:FB:CC, 2023-01-29 01:19:50, 2023-01-29 01:26:24,5,130, WPA2 WPA, CCMP, PSK,-75,19,0,   0.  0.  0.  0,4, A400, 
64:20:E0:6C:2F:1B, 2023-01-29 01:20:33, 2023-01-29 01:27:00,2,360, WPA2, CCMP, PSK,-66,28,0,   0.  0.  0.  0,0, , 
E8:65:D4:64:D1:15, 2023-01-29 01:18:51, 2023-01-29 01:27:26,40,780, WPA2, CCMP TKIP, PSK,-82,38,0,   0.  0.  0.  0,8, MHOME_5G, 
84:16:F9:7B:26:77, 2023-01-29 01:20:24, 2023-01-29 01:27:25,7,270, WPA2 WPA, CCMP TKIP, PSK,-78,24,0,   0.  0.  0.  0,9, KATEKAEW5, 
16:11:5D:11:29:C9, 2023-01-29 01:18:58, 2023-01-29 01:27:16,3,130, WPA2, CCMP TKIP, PSK,-76,21,0,   0.  0.  0.  0,4, No.X, 
7A:90:A2:9F:A5:CE, 2023-01-29 01:18:52, 2023-01-29 01:27:26,64,866, WPA2, CCMP TKIP, PSK,-73,53,0,   0.  0.  0.  0,0, , 
7A:90:A2:5F:A5:CE, 2023-01-29 01:18:52, 2023-01-29 01:27:26,64,866, WPA2, CCMP TKIP, PSK,-73,49,1,   0.  0.  0.  0,8, sirin_5G, 
D8:38:0D:80:A0:C1, 2023-01-29 01:18:59, 2023-01-29 01:27:25,7,130, OPN, ,   ,-72,65,0,   0.  0.  0.  0,11, Maprang_FL5, 
F4:92:BF:CA:7C:AC, 2023-01-29 01:18:44, 2023-01-29 01:27:33,1,130, OPN, ,   ,-69,93,24,  10.  5. 50. 96,14, M-HOME_2.4 FL3, 
7A:6C:51:1A:A2:48, 2023-01-29 01:18:50, 2023-01-29 01:27:25,6,130, WPA3 WPA2, CCMP, SAE PSK,-70,158,0,   0.  0.  0.  0,25, , 
C0:C9:E3:D7:DD:9D, 2023-01-29 01:18:58, 2023-01-29 01:27:24,2,270, OPN, ,   ,-70,61,3,   0.  0.  0.  0,11, Maprang_FL6, 
14:91:82:A4:38:51, 2023-01-29 01:18:51, 2023-01-29 01:27:28,11,54, OPN, ,   ,-69,92,1, 192.168.  3.  1,13, SrongklodWifi, 
92:C8:0A:92:3A:08, 2023-01-29 01:19:16, 2023-01-29 01:27:25,6,130, WPA3 WPA2, CCMP, SAE PSK,-68,37,0,   0.  0.  0.  0,23, , 
06:16:F9:7B:26:77, 2023-01-29 01:18:59, 2023-01-29 01:27:24,7,270, WPA2 WPA, CCMP TKIP, PSK,-67,26,0,   0.  0.  0.  0,9, KATEKAEW4, 
94:46:96:56:DC:64, 2023-01-29 01:20:33, 2023-01-29 01:27:17,1,130, WPA2, CCMP TKIP, PSK,-67,19,0,   0.  0.  0.  0,10, Moss2.4GHz, 
8C:FD:18:B0:9E:64, 2023-01-29 01:18:50, 2023-01-29 01:27:26,9,130, WPA2 WPA, CCMP, PSK,-65,121,70,   0.  0.  0.  0,4, Reef, 
66:20:E0:1C:2F:1B, 2023-01-29 01:19:33, 2023-01-29 01:27:24,2,360, WPA2, CCMP, PSK,-64,20,0,   0.  0.  0.  0,12, Taewifi_2.4G, 
AC:9E:17:5C:AE:CC, 2023-01-29 01:18:50, 2023-01-29 01:27:25,6,130, WPA2, CCMP, PSK,-59,178,58,   0.  0.  0.  0,8, MHome2.4, 
78:90:A2:8F:A5:CE, 2023-01-29 01:18:59, 2023-01-29 01:27:25,8,360, WPA2, CCMP TKIP, PSK,-59,139,0,   0.  0.  0.  0,10, sirin_2.4G, 
E8:65:D4:64:D1:11, 2023-01-29 01:18:50, 2023-01-29 01:27:27,5,270, WPA2, CCMP TKIP, PSK,-47,220,5,   0.  0.  0.  0,5, MHOME, 
FC:EC:DA:E6:51:D9, 2023-01-29 01:18:50, 2023-01-29 01:27:28,11,130, OPN, ,   ,-47,297,46,   0.  0.  0.  0,10, M-HOME_FL4, 
50:C7:BF:1A:87:93, 2023-01-29 01:18:50, 2023-01-29 01:27:28,10,130, WPA2, CCMP, PSK,-44,309,120,   0.  0.  0.  0,13, Mhome_Private, 
06:67:68:21:28:28, 2023-01-29 01:18:50, 2023-01-29 01:27:27,6,130, WPA3 WPA2, CCMP, SAE PSK,-38,325,8,   0.  0.  0.  0,3, , 
,,,,,,,,,,,,,,
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,
4E:98:1A:36:A7:1E, 2023-01-29 01:26:31, 2023-01-29 01:26:31,-77,1, (not associated) ,,,,,,,,,
46:C8:C6:07:0A:24, 2023-01-29 01:26:15, 2023-01-29 01:26:15,-63,2, (not associated) ,OSHINEI_CUSTOMER,,,,,,,,
FA:5A:09:51:AE:13, 2023-01-29 01:26:16, 2023-01-29 01:26:16,-67,1, (not associated) ,,,,,,,,,
D8:4C:90:A9:C3:B0, 2023-01-29 01:23:15, 2023-01-29 01:26:14,-73,4, (not associated) ,,,,,,,,,
6C:6A:77:92:81:7D, 2023-01-29 01:21:59, 2023-01-29 01:26:17,-88,11, 26:56:C8:D1:A0:75,,,,,,,,,
7E:19:1A:24:12:7D, 2023-01-29 01:25:55, 2023-01-29 01:25:55,-49,2, (not associated) ,,,,,,,,,
F6:7F:CF:97:06:AF, 2023-01-29 01:25:54, 2023-01-29 01:25:54,-57,2, (not associated) ,,,,,,,,,
52:C5:8E:91:FF:CB, 2023-01-29 01:25:54, 2023-01-29 01:25:54,-63,1, (not associated) ,,,,,,,,,
4E:28:7E:40:BB:AB, 2023-01-29 01:25:50, 2023-01-29 01:25:50,-67,1, (not associated) ,,,,,,,,,
76:AD:16:BB:5C:9D, 2023-01-29 01:25:50, 2023-01-29 01:25:50,-67,1, (not associated) ,,,,,,,,,
26:96:51:BE:7E:0F, 2023-01-29 01:25:39, 2023-01-29 01:25:39,-57,3, (not associated) ,,,,,,,,,
36:69:04:6B:42:50, 2023-01-29 01:25:29, 2023-01-29 01:25:29,-55,1, (not associated) ,,,,,,,,,
